,Unnamed: 0,AIN,TRA,Admin Region No,Common Area KY,Yr Sold to State,Recording Date,LAND Value,Improvement Value,GPP KY,Exmpt Claim Type KY,GPP Value,Fixture Value,Real Est Exmpt Value,PP Exmpt Value,Fixture Exmpt Value,Hmownr Exmpt Value,1st Owner Assee Name,1st Owner Name Overflow,2nd Owner Assee Name,Special Name Assee,SA KY,SA Date of Last Chng,SA Postal City Cde,SA House Number,SA Fraction,SA Direction,SA Unit,SA ZIP Cde,SA Street Name,SA City and State,MAO KY,MAO Date Of Last Chng,MAO Postal City Cde,MA House Number,MA Fraction,MA Direction,MA Unit,MA ZIP Cde,MA Street Name,MA City and State,LDLL Narative,LDLL Lot,LDLL Division,LDLL Region,LD Line1,LD Line2,LD Line3,LD Line4,LD Line 5,Zoning Code,Use Cde,Effective Yr,YR Built,Built SQ FT Main
3369,3369,6174025001,6089,12,0,0,19670145,99386,377346,ÿ,5,0,0,476732,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST LDS,LYNWOOD WARD,RE:500-4896,D,19950605,51,12200,,,,90262,BRADFIELD AVE,LYNWOOD CA,F,20130201,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,6,,,J J BULLIS TRACT LOT COM AT INTERSECTION,OF SE LINE OF BRADFIELD AVE PER,OR24916-266 WITH SW LINE OF MAGNOLIA AVE,PER OR30966-144 TH SE ON SD SW LINE 150,"FT TH S 19›09'30"" W 204.5 FT TH S 71› E",LYR1*,7100,1957,1954,5768
3390,3390,6180010021,2957,26,0,0,19691110,30419,33112,ÿ,5,0,0,63531,0,0,0,SUPREME COUNCIL OF THE HOUSE OF,JACOB OF US OF AMERICA INC,,,D,19930701,19,15206,,S,,90221,BUTLER AVE,COMPTON CA,E,0,0,0,,,,43812,PO BOX 310,COSHOCTON OH,PART OF,4,,,TEMPLE AND GIBSON TRACT RANGE 7 LOT COM,"S ON W LINE OF TR # 6743,355.12 FT AND","S 89›49'31"" W 278.02 FT FROM NW COR OF","SD TR TH S 89›49'31"" W 252 FT TH S ON E","LINE OF BUTLER AVE 80 FT TH N 89›49'31""",LCA1*,7100,1948,1945,1880
3450,3450,6209016032,668,26,0,0,19960801,365967,631501,ÿ,8,0,0,788551,0,0,0,UNIVERSAL CHURCH,,,,D,19930701,87,9707,,,,90280,CALIFORNIA AVE,SOUTH GATE CA,F,20141204,0,247,,,,7105,WALNUT ST,NEWARK NJ,,480,,,"TRACT NO 5248   LOTS 436, 437, 438,","439, 440,441, 442, 477, 478, 479 AND",,,,SGCR-R3*,7100,0,0,0
3456,3456,6211023032,664,12,0,0,19700000,84689,227770,ÿ,5,0,0,312459,0,0,0,CORP OF THE PRESIDING BISHOP OF,CH OF JESUS CHRIST OF L D S,,RE:500-3989,D,19950605,87,2771,,,,90280,LIBERTY BLVD,SOUTH GATE CA,F,20010605,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,159,,,TRACT NO 2917   LOT 158 AND E 50 FT OF,,,,,SGR4*,7100,0,0,0
3485,3485,6228003049,6351,12,0,0,19580725,63970,154620,ÿ,5,0,0,218590,0,0,0,CORP OF THE PRESIDING BISHOP OF,JESUS CHRIST OF L D S GRANT WD,,RE #500-4012,D,19950605,10,7414,,,,90201,JABONERIA RD,BELL GARDENS CA,F,20010613,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,TRACT NO 11318,,,,LOT COM AT MOST S COR OF LOT 16 BLK 1,TR NO 11318 TH NE ON SE LINE OF LOTS 16,AND 15 SD BLK 207.5 FT TH NW TO A PT IN,SE LINE OF JABONERIA ST NE THEREON,137.57 FT FROM MOST N COR OF SD LOT 16,BGR3*,7100,1950,1950,10399
3513,3513,6251026038,3304,12,0,0,20010321,1392648,689362,ÿ,5,0,0,2082010,0,0,0,CORP OF PRESIDING BISHOP OF CH,OF JESUS CHRIST LDS,,,D,20011218,23,10511,,,,90241,PARAMOUNT BLVD,DOWNEY CA,F,20100518,0,50,,,,84150,EAST NORTH TEMPLE ST,SALT LAKE CITY UT,P M 299-68-69 LOT 2,,,,,,,,,DOR105,7100,0,0,0
3527,3527,6255028018,3266,12,0,0,20070919,1448003,771155,ÿ,8,0,0,1912595,0,0,0,THE UNIVERSAL CHURCH,,,C/O REGINA DA SILVA,D,19930701,23,11714,,,,90241,DOWNEY AVE,DOWNEY CA,F,20091116,0,247,,,,7105,WALNUT ST,NEWARK NJ,,16,,,*TR=RECORD OF SURVEY AS PER BK 56 PG 46,OF R S*LOT COM AT MOST E COR OF LOT,"10 TR NO 17277 TH N 31›50'10"" E 106.83","FT TH N 60›49'20"" W TO SE LINE OF DOWNEY",AVE TH SW THEREON TO NE LINE OF SD TR TH,DOR2*,7100,0,0,0
3535,3535,6259018087,3266,12,0,0,19890411,1193108,594201,ÿ,5,0,0,1787309,0,0,0,CORP OF CHURCH OF JESUS CHRIST,LATTER DAY SAINTS,,LDS CHURCH TAX ADMINISTRATION,D,19960616,23,12425,,,,90242,ORIZABA AVE,DOWNEY CA,F,20060502,0,50,,E,FL 22,84150,NORTH TEMPLE,SALT LAKE CITY UT,P M 264-50-52 LOT 1,,,,,,,,,DOR105,7100,1959,1957,25174
3551,3551,6271033022,11274,26,0,0,20070507,565884,848827,ÿ,5,0,0,1414711,0,0,0,THE UNIVERSAL CHURCH,,,,D,20041124,11,15725,,,,90706,BELLFLOWER BLVD,BELLFLOWER CA,F,20131221,0,247,,,,7105,WALNUT ST,NEWARK NJ,MAPS POR OF LOTS 28 AND 29,,,,RENDALIA TRACT FOR DESC SEE ASSESSOR'S,,,,,BFCG*,7100,0,0,0
3589,3589,6317015005,656,12,0,0,19670145,130874,513689,ÿ,5,0,0,644563,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,MAYWOOD WARD,RE:500-4004,D,19950605,54,4407,,,,90270,RANDOLPH ST,MAYWOOD CA,F,20130204,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,470,,,TRACT # 2487 EX OF ST,,,,,MYR3YY,7100,1950,1948,14845
3602,3602,6321022026,595,12,0,0,19590924,157386,519842,ÿ,5,0,0,677228,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST L D S,,RE:500-3911,D,19950605,34,6531,,,,90255,MIDDLETON ST,HUNTINGTON PARK CA,F,20130204,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,28,42,,"HUNTINGTON PARK   LOTS 24, 25, 26 AND",27 AND E 110 FT OF,,,,HPR4*,7100,0,0,0
3608,3608,6322027023,13483,26,0,0,20080128,776704,1109578,ÿ,3,0,0,1886282,0,0,0,UNIVERSAL CHURCH,,,,D,20040518,34,2721,,E,,90255,FLORENCE AVE,HUNTINGTON PARK CA,F,20131221,0,247,,,,7105,WALNUT ST,NEWARK NJ,,40,61,,THIRD ADD TO HUNTINGTON PARK W 75 FT,MEASURED ON N LINE EX OF ST OF,,,,HPCG*,7100,1949,1949,4263
3709,3709,6378004016,7958,11,0,0,19620509,139783,890486,ÿ,5,0,0,1030269,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST L D S,,BENSON RALPH V,D,19950605,73,6201,,,,90660,PASSONS BLVD,PICO RIVERA CA,F,20130204,0,50,,E,,84150,NORTH TEMPLE ST,SALT LAKE CITY UT,PART OF LOT 6 RIVER BLOCK,,,,RO PASO DE BARTOLO FINALLY CONFIRMED,TO PIO PICO ET AL    LOT COM AT MOST,E COR OF LOT 33 TR NO 15559 TH S,"36›45'20"" W 137.33 FT TH SE ON A CURVE",CONCAVE TO SW (R=40 FT) 40.62 FT TH S,PRSF-P*,7100,1956,1955,16561
3731,3731,7016002046,2019,26,0,0,19740813,518527,2521944,ÿ,5,0,0,3040471,0,0,0,CORPORATION OF PRESIDING BISHOP,CH OF JESUS CHRIST OF L D S,,C/O REAL ESTATE DIV RE:513-4080,D,19950605,6,16115,,,,90703,STUDEBAKER RD,CERRITOS CA,F,20130204,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,26,3S,12.0,"RANCHO LOS COYOTES SECTIONS, TOWNSHIP",AND RANGE AS PER PATE TS BK 1 PG 493-494,AND O R M 7425 PG 20-21  S 1/2 OF,SE 1/4 OF NE 1/4 OF NE 1/4 (EX OF ST) OF,,CERS6500,7100,1977,1977,26425
3739,3739,7025018006,2018,26,0,0,19610131,188245,1284507,ÿ,5,0,0,1472752,0,0,0,CORP OF THE PRESIDING BISHOP OF,CH OF JESUS CHRIST OF L D S,,RE:512-3348,D,19950605,6,17907,,,,90703,BLOOMFIELD AVE,CERRITOS CA,F,20160211,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,NE 1/4 OF,31,3S,11.0,"RANCHO LOS COYOTES SECTIONS, TOWNSHIP","AND RANGE AS PER PATENTS, BK 1 PG 493-",494 AND O R M 7425 PG 20-21   LOT (EX,OF ST) COM S ON E LINE OF SE 1/4 OF,NE 1/4 OF SEC 31 T 3S R 11W 348.47 FT,CERS6500,7100,1973,1971,25808
3822,3822,7116001003,4992,26,0,0,19670145,229881,683831,ÿ,5,0,0,913712,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,LONG BEACH 6 WARD,C/O RE: 500-3296,D,19950605,49,6979,,,,90805,ORANGE AVE,LONG BEACH CA,F,20160211,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,5,24,,CALIFORNIA COOPERATIVE COLONY TRACT E,170 FT OF W 1280 FT EX OF ST OF LOT 4,AND E 170 FT OF W 1280 FT OF,,,LBI,7100,1962,1962,19955
3839,3839,7128009017,4992,26,0,0,20140314,724874,1051067,ÿ,ÿ,0,0,0,0,0,0,REGIONAL BUILDING COMMITTEE OF,JEHOVAH WITNESSES CORP,,C/O DARRELL BUCHANAN,D,19930701,49,5620,,,,90805,ORANGE AVE,LONG BEACH CA,F,20151105,0,2821,,,,12563,ROUTE 22,PATTERSON NY,AND (EX OF ST),68,,,TRACT NO 5464   LOT 35 (EX OF ST) AND,ALL OF LOT 36 AND W 10 FT OF LOT 67,,,,LBR3T,7100,0,0,0
3862,3862,7145008018,5500,26,0,0,19670145,287869,1694416,ÿ,5,0,0,1982285,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,4 AND 9 WARD,RE:500-3237,D,19950605,49,3701,,,,90807,ELM AVE,LONG BEACH CA,F,20160211,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,24,1,,"TRACT # 2964 LOTS 19,20,21,22,23 AND",,,,,LBR2N,7100,0,0,0
3871,3871,7157007011,3753,26,0,0,19940929,2375617,1990129,ÿ,8,0,0,3714827,0,0,0,CORP OF THE PRES BP OF THE,CHURCH OF CHRIST OF L D SAINTS,,,D,20070513,40,3114,,E,,90805,SOUTH ST,LAKEWOOD CA,F,20100520,0,50,,E,22ND FL,84150,NORTH TEMPLE ST,SALT LAKE CITY UT,LOTS 1 AND 2,,,,P M 313-13-15 THAT POR IN TRA 3753 OF,,,,,LKM1*,7100,2003,2003,16166
3887,3887,7163014033,2267,12,0,0,19750101,217452,933486,ÿ,5,0,0,1150938,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF,LDS LAKEWOOD WARD,,D,19950605,11,17660,,,,90706,CARPINTERO AVE,BELLFLOWER CA,F,20160211,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,FOR DESC SEE ASSESSOR'S MAPS,,,,,,,,,BFA1*,7100,1963,1963,23368
3908,3908,7185018021,5519,26,0,0,19670145,488780,1102940,ÿ,5,0,0,1591720,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST L D S,LAKEWOOD WARD,RE:500-1293,D,19950605,49,3824,,,,90808,WOODRUFF AVE,LONG BEACH CA,F,20160211,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,16,,,"TRACT NO 9265 LOT COM S 0›13'02"" W 633.4","FT FROM NW COR OF LOT 16 TH S 0›13'02"" W","50 FT TH S 89›47'28"" E 660.16 FT TH N 0›","13'02"" E 200 FT TH N 89›47'28"" W 410.16","FT TH S 0›13'02"" W 150 FT TH N 89›47'28""",LBCCA,7100,0,0,0
3923,3923,7205008030,11934,26,0,0,20070612,1459986,2139050,ÿ,3,0,0,3599036,0,0,0,THE UNIVERSAL CHURCH,,,C/O REGINA DA SILVA,D,20011218,49,2474,,,,90806,PACIFIC AVE,LONG BEACH CA,F,20091116,0,247,,,,7105,WALNUT ST,NEWARK NJ,"M.B 11-73 LOTS 15,16 AND 17",,,,,,,,,LBCNP,7100,1949,1936,15729
3962,3962,7239008001,5516,26,0,0,19670145,327226,687452,ÿ,5,0,0,1014678,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,LONG BEACH 3 AND 8 WARDS,RE:500-1358,D,19950605,49,6500,,E,,90815,ATHERTON ST,LONG BEACH CA,F,20130204,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,TRACT # 22396,1,,,,,,,,LBR1N,7100,1960,1960,21681
3965,3965,7241010006,5500,26,0,0,19670145,252657,769645,ÿ,5,0,0,1022302,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,FIFTH WARD E LONG BEACH,RE:500-1366,D,19950605,49,1140,,,,90804,XIMENO AVE,LONG BEACH CA,F,20130204,0,50,,E,,84150,NORTH TEMPLE ST,SALT LAKE CITY UT,,9,,,"TRACT # 9120 LOTS 6,7,8 AND EX OF ALLEY",,,,,LBI,7100,1950,1941,19676
4018,4018,7272001032,11934,26,0,0,20080107,1228304,621362,ÿ,3,0,0,1849666,0,0,0,UNIVERSAL CHURCH,,,REGINA DASILVA,D,20000307,49,1235,,,,90813,PACIFIC AVE,LONG BEACH CA,F,20090630,0,247,,,,7105,WALNUT ST,NEWARK NJ,,8,1,,TUTT TRACT LOTS 6 AND,,,,,LBCCN,7100,1969,1962,15645
4019,4019,7272001033,11934,26,0,0,20080107,1501263,154229,ÿ,3,0,0,1655492,0,0,0,UNIVERSAL CHURCH,,,REGINA DASILVA,D,20080511,49,1219,,,,90813,PACIFIC AVE,LONG BEACH CA,F,20090921,0,247,,,,7105,WALNUT ST,NEWARK NJ,,12,1,,TUTT TRACT LOT 10 AND N 20 FT OF W,50 FT AND E 100 FT OF,,,,LBCCN,7100,2006,2006,2100
4050,4050,7312026034,5501,26,0,0,20130529,462904,473306,ÿ,ÿ,0,0,0,0,0,0,FROM THE HEART CHURCH MINISTRIES,INC,,,D,19990531,49,1401,,W,,90810,SPRING ST,LONG BEACH CA,F,20130827,0,4949,,,,20746,ALLENTOWN RD,SUITLAND MD,,147,,,TRACT # 9254 E 30 FT OF LOT 145 AND,ALL OF LOTS 146 AND,,,,LBR1N,7100,1953,1949,5404
4084,4084,7341019014,14264,26,0,0,19840103,2275321,5128020,ÿ,5,0,0,7403341,0,0,0,CHURCH OF JESUS CHRIST OF,LATTER DAY SAINTS,,REAL ESTATE DIV,D,19940609,107,22721,,,,90745,MAIN ST,CARSON CA,F,20060209,0,50,,E,RM  1203,84150,NORTH TEMPLE ST,SALT LAKE CITY UT,,92,,,TRACT NO 3612   LOT (EX OF STS) COM AT,"SE COR OF LOT 92 TH N 89›48'40"" W","449.77 FT TH N 0›08'10"" W 430 FT TH S","89›48'40"" E 433.77 FT TH S 2›16' E",430.41 FT TO BEG  PART OF,CACG&D*,7100,1990,1990,38214
4258,4258,7507012011,8055,14,0,0,19590428,586122,1875943,ÿ,5,0,0,2462065,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF L D S,,RE 500-8224,D,19950605,75,715,,,,90277,KNOB HILL AVE,REDONDO BEACH CA,F,20060417,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,29,58,,"TRACT NO 10019 LOTS 11,12,13,14,15,16,","17,18,19,20,21,22,23,24,25,26,27,28 AND",,,,RBR-1,7100,1978,1978,18349
4280,4280,7528005009,9340,14,0,0,19650000,830508,998335,ÿ,5,0,0,1828843,0,0,0,CORP OF PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,PALOS VERDES WD TORRANCE ST CNTR,RE #500-8697,D,19950605,94,22605,,,,90505,KENT AVE,TORRANCE CA,F,20100603,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,29,,,TRACT NO 454  3.2 MORE OR LESS ACS BEING,EX OF ST THAT PART W OF KENT AVE OF,,,,TORR-MD,7100,1965,1964,27355
4299,4299,7560007013,14,14,0,0,19670145,471526,772033,ÿ,5,0,0,1243559,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,SAN PEDRO WARD,RE #500-8492,D,20070424,82,1635,,W,,90732,9TH ST,LOS ANGELES CA,F,20060223,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,PART OF,III,,,SUB OF LOT M OF ORIGINAL PARTITION OF,THE RANCHO LOS PALOS VERDES LOT COM AT,NW COR OF LOT 160 TR # 4252 TH S 440.72,FT TO N LINE OF TR # 15908 TH W AND,FOLLOWING BDRY LINE OF SD TR # 15908 TO,LAR1,7100,1955,1955,18634
4306,4306,7589013005,7090,26,0,0,19760322,700730,2818865,ÿ,5,0,0,3519595,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRISTS OF LDS,,RE:  515-2658,D,19950605,69,5845,,,,90275,CRESTRIDGE RD,RNCHO PALOS VRDS CA,F,20010808,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,OF P M,1,,,*TR=PARCEL MAP AS PER BK 66 PG 25-26,,,,,RPI*,7100,1980,1978,25379
4309,4309,8008017014,5361,11,0,0,19670145,283725,813494,ÿ,5,0,0,1097219,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,SANTA FE SPRINGS WARD,RE:500-3415,D,19950605,83,11733,,,,90670,FLORENCE AVE,SANTA FE SPRINGS CA,F,20060911,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,1,3S,12.0,RANCHO SANTA GERTRUDES SECTIONS TOWNSHIP,AND RANGE LOT COM E 796.09 FT AND N,441.69 FT AND E 290.65 FT FROM SE COR,OF TR NO 17672 TH E 315.73 FT TH S,416.69 FT TO N LINE OF FLORENCE AVE TH W,SSPFYY,7100,1965,1964,16847
4344,4344,8038026023,6910,12,0,0,19571223,140399,766757,ÿ,5,0,0,907156,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,LA MIRADA WARD,RE:500-3393,D,19950605,41,15100,,,,90638,CORDOVA RD,LA MIRADA CA,F,20130204,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,TO BEG PART OF,2,,,LICENSED SURVEYOR'S MAP AS PER BK 9 PG 9,OF L S LOT COM AT MOST N COR OF LOT 18,TR # 24081 TH NE ON A CURVE CONCAVE TO,SE RADIUS EQUALS 554.52 FT 451.04 FT TH,"N 74›24'39"" E 66.48 FT TH S 15›35'21"" E",LMR1AWH*,7100,1962,1962,18678
4385,4385,8073005024,13242,26,0,0,20130315,145631,208047,ÿ,ÿ,0,0,0,0,0,0,NEW TESTAMENT CHRISTIAN CHURCHES,OF AMERICA,,,D,19930701,64,14308,,,,90650,DEVLIN AVE,NORWALK CA,F,20130521,0,1123,,,,63111,HOLLY HILLS AVE,SAINT LOUIS MO,TR=5260 EX OF STS LOT 11 BLK E,,,,,,,,,NOC3*,7100,1991,1991,1904
4408,4408,8105009014,6549,27,0,0,19780119,47593,53651,5,ÿ,0,0,0,0,0,0,"PATTEN,PEGGY",,,,D,19930701,25,11441,,,,91732,ELLIOTT AVE,EL MONTE CA,E,0,0,0,,,,89116,PO BOX 43074,LAS VEGAS NV,TRACT # 11410,2,,,,,,,,EMC3YY,7100,0,0,0
4459,4459,8141021021,6845,11,0,0,19670145,119419,2721352,ÿ,5,0,0,2840771,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF LDS,WHITTIER 1 WARD,RE 500-3873,D,19950605,102,7906,,,,90602,PICKERING AVE,WHITTIER CA,F,20070105,0,50,,E,FL 22,84150,NORTH TEMPLE,SALT LAKE CITY UT,LOT 73,,,,"TR=13950 EX OF ST LOTS 69,70,71,72,AND",,,,,WHR4*,7100,2000,1999,18490
4485,4485,8174033050,9669,11,0,0,20040607,942818,438377,ÿ,5,0,0,1381195,0,0,0,UNIVERSAL CHURCH,,,C/O DELMA FITZKEE,D,20041205,102,6618,,,,90606,NORWALK BLVD,WHITTIER CA,F,20131223,0,247,,,,7105,WALNUT ST,NEWARK NJ,PART OF,B,,,TRACT NO 2239   LOT COM AT MOST W COR,OF LOT 30 TR NO 12784 TH SE ON SW LINE,"OF SD TR 212.5 FT TH S 39›43'40"" W TO",NE LINE OF REICHLING LANE TH NW THEREON,AND NE ON SE LINE OF NORWALK BLVD TO BEG,LCR1*,7100,1963,1954,6090
4524,4524,8220002078,11980,11,0,0,19670145,121140,739897,ÿ,5,0,0,861037,0,0,0,CORP OF PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST OF L D S,,RE:500-7984,D,19950605,43,1415,,,,91745,TURNBULL CANYON RD,LA PUENTE CA,F,20060202,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,74,,,TRACT NO 1953   LOT COM NW ON NE LINE OF,LOT 74 10 FT FROM MOST E COR OF SD LOT,TH NW ON SD NE LINE TO NW LINE OF SD LOT,TH SW THEREON TO NE LINE OF LOS ROBLES,AVE TH SE THEREON 24 FT TH NE PARALLEL,LCRA1L,7100,1964,1964,17740
4536,4536,8226018011,3540,27,0,0,19670145,246444,1148627,ÿ,5,0,0,1395071,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST LDS,WHITTIER 3 WARD,RE #500-3849,D,19950605,102,15265,,,,90604,MULBERRY DR,WHITTIER CA,F,20130204,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,3,,,CORONA TRACT   LOT COM W 635.9 FT FROM,SE COR OF BLK 3 TH N 305 FT TH W 530.5,FT TH S 127.6 FT TH W TO E LINE OF,COLE RD TH S THEREON AND E ON N LINE,OF MULBERRY DR TO BEG  PART OF,WHR1*,7100,1959,1959,26545
4571,4571,8262007050,5613,27,0,0,19591030,16542,275274,ÿ,5,0,0,291816,0,0,0,CORP OF THE PRESIDING BISHOP OF,THE CH OF JESUS CHRIST OF LDS,,RE: 500-8484,D,20010424,43,504,,,,91744,RIMGROVE DR,LA PUENTE CA,F,20010424,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,TO BEG  PART OF,1,,,TRACT NO 3163   THAT PART IN GARO LTG,"DIST OF LOT COM N 18›04'30"" E 273.89","FT AND N 73›10'41"" W 828.92 FT FROM SE","COR OF LOT 1 TH N 18›04'30"" E 125.03","FT TH N 72›58'01"" W 5.91 FT TH N 18›",LCA16000*,7100,0,0,0
4572,4572,8262007051,4419,27,0,0,19591030,124245,477497,ÿ,5,0,0,601742,0,0,0,CORP OF THE PRESIDING BISHOP OF,THE CH OF JESUS CHRIST OF LDS,,RE: 500-8484,D,20010424,43,504,,,,91744,RIMGROVE DR,LA PUENTE CA,F,20010424,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,,1,,,TRACT NO 3163   THAT PART OUTSIDE GARO,"LTD DIST OF LOT COM N 18›04'30"" E","273.89 FT AND N 73›10'41"" W 828.92 FT","FROM SE COR OF LOT 1 TH N 18›04'30"" E","125.03 FT TH N 72›58'01"" W 5.91 FT TH",LCA16000*,7100,1961,1961,13248
4588,4588,8276014045,8366,27,0,0,19610511,98564,799982,ÿ,5,0,0,898546,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST L D S,,RE #500-8549,D,19950605,43,2120,,,,91748,VALENCIA ST,LA PUENTE CA,F,20160211,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,TO BEG  PART OF,39,,,TRACT NO 3433   LOT (EX OF STS) COM,AT MOST N COR OF LOT 39 TH SE ON NE,LINE OF SD LOT 274.06 FT TH S 70›53',"W 233.14 FT TH S 66›10'20"" W 240 FT TH",NW ON C/L OF ALEXDALE LANE 333.53 FT TH,LCA16000*,7100,1971,1971,14291
4597,4597,8294001001,4475,11,0,0,19750103,593426,2309569,ÿ,5,0,0,2902995,0,0,0,CORP OF THE PRESIDING BISHOP OF,THE CH OF JESUS CHRIST OF L D,,RE:514-4787,D,19950605,43,16750,,,,91745,COLIMA RD,HACIENDA HEIGHTS CA,F,20060911,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,TRACT NO. 32535,1,,,,,,,,LCRPD600025U-RP,7100,0,0,0
4603,4603,8307001034,2561,06,0,0,19840210,699047,3855980,ÿ,5,0,0,4555027,0,0,0,CORP PRES BISHOP CHURCH OF JESUS,CHRIST OF LATTER DAY SAINTS,,C/O CH TAX DV 22 FL RE:518-7729,D,19940609,18,728,,E,,91711,BASELINE RD,CLAREMONT CA,F,19930211,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,P M 203-25 LOT 1,,,,,,,,,CLCP*,7100,0,0,0
4710,4710,8359007029,7790,27,0,0,19800711,517189,4090550,ÿ,5,0,0,4607739,0,0,0,CORP OF THE PRESIDING BISHOP OF,CHURCH OF JESUS CHRIST LDS,,RE: 519-2978,D,20040223,74,175,,W,,91768,WILLOW ST,POMONA CA,F,20160211,0,50,,E,,84150,NORTH TEMPLE,SALT LAKE CITY UT,LOT 19 TR NO 12446,,,,"*LOT COM N 58›28'50"" W 122 FT FROM MOST",S COR OF LOT 19 TR NO 12446 TH N 31›30',"30"" E 170 FT TH S 58›28'50"" E TO E LINE",OF SD LOT TH N THEREON TO MOST E COR OF,"SD LOT TH N 58›27'50"" W TO SE LINE OF",POR17200*,7100,1982,1982,19824
4731,4731,8387010042,12156,27,0,0,19740408,28143,127744,ÿ,5,0,0,155887,0,0,0,NATIONAL ORG OF NEW APOSTOLIC,CHURCH OF NORTH AMERICA,,,D,19950605,79,120,,W,,91773,4TH ST,SAN DIMAS CA,F,20160418,0,3753,,N,,60618,TROY ST,CHICAGO IL,,159,,,"LAND DES IN DOC 971, 74-4-8  SAN DIMAS","VAC ALLEY ADJ ON S AND LOTS 155, 157 AND",,,,SDMFD*,7100,1979,1974,3040
4745,4745,8401014010,2645,27,0,0,19670145,70394,133360,ÿ,5,0,0,203754,0,0,0,REORGANIZED CHURCH OF JESUS,CHRIST OF LATTER DAY SAINTS,,C/O LEGAL SVS PENNY EDWARDS,D,19930701,21,2003,,E,,91724,CIENEGA AVE,COVINA CA,F,20090429,0,1001,,W,,64050,WALNUT ST,INDEPENDENCE MO,NW 1/4 OF,8,1S,9.0,SUB OF THE RANCHO ADD TO SAN JOSE AND A,PORTION OF RANCHO SAN JOSE LOT COM N 0›,"00'45"" E 40 FT FROM SW COR OF SE 1/4 OF",NE 1/4 OF NW 1/4 OF SEC 8 T 1S R 9W TH N,"0›00'45"" E 370 FT TH E 174.51 FT TH S",CVRD02,7100,0,0,0
